# Unicode Emoji 17.0 机器可读版
# 生成日期: 2026-02-13
# 数据源: emoji-test.txt (官方17.0)
# 字段: 字符	码位序列	状态	版本	名称
# 行数: 包含 fully/minimally/unqualified/component，完全未过滤
🤼‍♀️	1F93C 200D 2640 FE0F	fully-qualified	E4.0	women wrestling
🤼‍♀	1F93C 200D 2640	minimally-qualified	E4.0	women wrestling
🤼🏻‍♀️	1F93C 1F3FB 200D 2640 FE0F	fully-qualified	E17.0	women wrestling: light skin tone
🤼🏻‍♀	1F93C 1F3FB 200D 2640	minimally-qualified	E17.0	women wrestling: light skin tone
🤼🏼‍♀️	1F93C 1F3FC 200D 2640 FE0F	fully-qualified	E17.0	women wrestling: medium-light skin tone
🤼🏼‍♀	1F93C 1F3FC 200D 2640	minimally-qualified	E17.0	women wrestling: medium-light skin tone
🤼🏽‍♀️	1F93C 1F3FD 200D 2640 FE0F	fully-qualified	E17.0	women wrestling: medium skin tone
🤼🏽‍♀	1F93C 1F3FD 200D 2640	minimally-qualified	E17.0	women wrestling: medium skin tone
🤼🏾‍♀️	1F93C 1F3FE 200D 2640 FE0F	fully-qualified	E17.0	women wrestling: medium-dark skin tone
🤼🏾‍♀	1F93C 1F3FE 200D 2640	minimally-qualified	E17.0	women wrestling: medium-dark skin tone
🤼🏿‍♀️	1F93C 1F3FF 200D 2640 FE0F	fully-qualified	E17.0	women wrestling: dark skin tone
🤼🏿‍♀	1F93C 1F3FF 200D 2640	minimally-qualified	E17.0	women wrestling: dark skin tone
🧑🏻‍🫯‍🧑🏼	1F9D1 1F3FB 200D 1FAEF 200D 1F9D1 1F3FC	fully-qualified	E17.0	people wrestling: light skin tone, medium-light skin tone
🧑🏻‍🫯‍🧑🏽	1F9D1 1F3FB 200D 1FAEF 200D 1F9D1 1F3FD	fully-qualified	E17.0	people wrestling: light skin tone, medium skin tone
🧑🏻‍🫯‍🧑🏾	1F9D1 1F3FB 200D 1FAEF 200D 1F9D1 1F3FE	fully-qualified	E17.0	people wrestling: light skin tone, medium-dark skin tone
🧑🏻‍🫯‍🧑🏿	1F9D1 1F3FB 200D 1FAEF 200D 1F9D1 1F3FF	fully-qualified	E17.0	people wrestling: light skin tone, dark skin tone
🧑🏼‍🫯‍🧑🏻	1F9D1 1F3FC 200D 1FAEF 200D 1F9D1 1F3FB	fully-qualified	E17.0	people wrestling: medium-light skin tone, light skin tone
🧑🏼‍🫯‍🧑🏽	1F9D1 1F3FC 200D 1FAEF 200D 1F9D1 1F3FD	fully-qualified	E17.0	people wrestling: medium-light skin tone, medium skin tone
🧑🏼‍🫯‍🧑🏾	1F9D1 1F3FC 200D 1FAEF 200D 1F9D1 1F3FE	fully-qualified	E17.0	people wrestling: medium-light skin tone, medium-dark skin tone
🧑🏼‍🫯‍🧑🏿	1F9D1 1F3FC 200D 1FAEF 200D 1F9D1 1F3FF	fully-qualified	E17.0	people wrestling: medium-light skin tone, dark skin tone
🧑🏽‍🫯‍🧑🏻	1F9D1 1F3FD 200D 1FAEF 200D 1F9D1 1F3FB	fully-qualified	E17.0	people wrestling: medium skin tone, light skin tone
🧑🏽‍🫯‍🧑🏼	1F9D1 1F3FD 200D 1FAEF 200D 1F9D1 1F3FC	fully-qualified	E17.0	people wrestling: medium skin tone, medium-light skin tone
🧑🏽‍🫯‍🧑🏾	1F9D1 1F3FD 200D 1FAEF 200D 1F9D1 1F3FE	fully-qualified	E17.0	people wrestling: medium skin tone, medium-dark skin tone
🧑🏽‍🫯‍🧑🏿	1F9D1 1F3FD 200D 1FAEF 200D 1F9D1 1F3FF	fully-qualified	E17.0	people wrestling: medium skin tone, dark skin tone
🧑🏾‍🫯‍🧑🏻	1F9D1 1F3FE 200D 1FAEF 200D 1F9D1 1F3FB	fully-qualified	E17.0	people wrestling: medium-dark skin tone, light skin tone
🧑🏾‍🫯‍🧑🏼	1F9D1 1F3FE 200D 1FAEF 200D 1F9D1 1F3FC	fully-qualified	E17.0	people wrestling: medium-dark skin tone, medium-light skin tone
🧑🏾‍🫯‍🧑🏽	1F9D1 1F3FE 200D 1FAEF 200D 1F9D1 1F3FD	fully-qualified	E17.0	people wrestling: medium-dark skin tone, medium skin tone
🧑🏾‍🫯‍🧑🏿	1F9D1 1F3FE 200D 1FAEF 200D 1F9D1 1F3FF	fully-qualified	E17.0	people wrestling: medium-dark skin tone, dark skin tone
🧑🏿‍🫯‍🧑🏻	1F9D1 1F3FF 200D 1FAEF 200D 1F9D1 1F3FB	fully-qualified	E17.0	people wrestling: dark skin tone, light skin tone
🧑🏿‍🫯‍🧑🏼	1F9D1 1F3FF 200D 1FAEF 200D 1F9D1 1F3FC	fully-qualified	E17.0	people wrestling: dark skin tone, medium-light skin tone
🧑🏿‍🫯‍🧑🏽	1F9D1 1F3FF 200D 1FAEF 200D 1F9D1 1F3FD	fully-qualified	E17.0	people wrestling: dark skin tone, medium skin tone
🧑🏿‍🫯‍🧑🏾	1F9D1 1F3FF 200D 1FAEF 200D 1F9D1 1F3FE	fully-qualified	E17.0	people wrestling: dark skin tone, medium-dark skin tone
👨🏻‍🫯‍👨🏼	1F468 1F3FB 200D 1FAEF 200D 1F468 1F3FC	fully-qualified	E17.0	men wrestling: light skin tone, medium-light skin tone
👨🏻‍🫯‍👨🏽	1F468 1F3FB 200D 1FAEF 200D 1F468 1F3FD	fully-qualified	E17.0	men wrestling: light skin tone, medium skin tone
👨🏻‍🫯‍👨🏾	1F468 1F3FB 200D 1FAEF 200D 1F468 1F3FE	fully-qualified	E17.0	men wrestling: light skin tone, medium-dark skin tone
👨🏻‍🫯‍👨🏿	1F468 1F3FB 200D 1FAEF 200D 1F468 1F3FF	fully-qualified	E17.0	men wrestling: light skin tone, dark skin tone
👨🏼‍🫯‍👨🏻	1F468 1F3FC 200D 1FAEF 200D 1F468 1F3FB	fully-qualified	E17.0	men wrestling: medium-light skin tone, light skin tone
👨🏼‍🫯‍👨🏽	1F468 1F3FC 200D 1FAEF 200D 1F468 1F3FD	fully-qualified	E17.0	men wrestling: medium-light skin tone, medium skin tone
👨🏼‍🫯‍👨🏾	1F468 1F3FC 200D 1FAEF 200D 1F468 1F3FE	fully-qualified	E17.0	men wrestling: medium-light skin tone, medium-dark skin tone
👨🏼‍🫯‍👨🏿	1F468 1F3FC 200D 1FAEF 200D 1F468 1F3FF	fully-qualified	E17.0	men wrestling: medium-light skin tone, dark skin tone
👨🏽‍🫯‍👨🏻	1F468 1F3FD 200D 1FAEF 200D 1F468 1F3FB	fully-qualified	E17.0	men wrestling: medium skin tone, light skin tone
👨🏽‍🫯‍👨🏼	1F468 1F3FD 200D 1FAEF 200D 1F468 1F3FC	fully-qualified	E17.0	men wrestling: medium skin tone, medium-light skin tone
👨🏽‍🫯‍👨🏾	1F468 1F3FD 200D 1FAEF 200D 1F468 1F3FE	fully-qualified	E17.0	men wrestling: medium skin tone, medium-dark skin tone
👨🏽‍🫯‍👨🏿	1F468 1F3FD 200D 1FAEF 200D 1F468 1F3FF	fully-qualified	E17.0	men wrestling: medium skin tone, dark skin tone
👨🏾‍🫯‍👨🏻	1F468 1F3FE 200D 1FAEF 200D 1F468 1F3FB	fully-qualified	E17.0	men wrestling: medium-dark skin tone, light skin tone
👨🏾‍🫯‍👨🏼	1F468 1F3FE 200D 1FAEF 200D 1F468 1F3FC	fully-qualified	E17.0	men wrestling: medium-dark skin tone, medium-light skin tone
👨🏾‍🫯‍👨🏽	1F468 1F3FE 200D 1FAEF 200D 1F468 1F3FD	fully-qualified	E17.0	men wrestling: medium-dark skin tone, medium skin tone
👨🏾‍🫯‍👨🏿	1F468 1F3FE 200D 1FAEF 200D 1F468 1F3FF	fully-qualified	E17.0	men wrestling: medium-dark skin tone, dark skin tone
👨🏿‍🫯‍👨🏻	1F468 1F3FF 200D 1FAEF 200D 1F468 1F3FB	fully-qualified	E17.0	men wrestling: dark skin tone, light skin tone
👨🏿‍🫯‍👨🏼	1F468 1F3FF 200D 1FAEF 200D 1F468 1F3FC	fully-qualified	E17.0	men wrestling: dark skin tone, medium-light skin tone
👨🏿‍🫯‍👨🏽	1F468 1F3FF 200D 1FAEF 200D 1F468 1F3FD	fully-qualified	E17.0	men wrestling: dark skin tone, medium skin tone
👨🏿‍🫯‍👨🏾	1F468 1F3FF 200D 1FAEF 200D 1F468 1F3FE	fully-qualified	E17.0	men wrestling: dark skin tone, medium-dark skin tone
👩🏻‍🫯‍👩🏼	1F469 1F3FB 200D 1FAEF 200D 1F469 1F3FC	fully-qualified	E17.0	women wrestling: light skin tone, medium-light skin tone
👩🏻‍🫯‍👩🏽	1F469 1F3FB 200D 1FAEF 200D 1F469 1F3FD	fully-qualified	E17.0	women wrestling: light skin tone, medium skin tone
👩🏻‍🫯‍👩🏾	1F469 1F3FB 200D 1FAEF 200D 1F469 1F3FE	fully-qualified	E17.0	women wrestling: light skin tone, medium-dark skin tone
👩🏻‍🫯‍👩🏿	1F469 1F3FB 200D 1FAEF 200D 1F469 1F3FF	fully-qualified	E17.0	women wrestling: light skin tone, dark skin tone
👩🏼‍🫯‍👩🏻	1F469 1F3FC 200D 1FAEF 200D 1F469 1F3FB	fully-qualified	E17.0	women wrestling: medium-light skin tone, light skin tone
👩🏼‍🫯‍👩🏽	1F469 1F3FC 200D 1FAEF 200D 1F469 1F3FD	fully-qualified	E17.0	women wrestling: medium-light skin tone, medium skin tone
👩🏼‍🫯‍👩🏾	1F469 1F3FC 200D 1FAEF 200D 1F469 1F3FE	fully-qualified	E17.0	women wrestling: medium-light skin tone, medium-dark skin tone
👩🏼‍🫯‍👩🏿	1F469 1F3FC 200D 1FAEF 200D 1F469 1F3FF	fully-qualified	E17.0	women wrestling: medium-light skin tone, dark skin tone
👩🏽‍🫯‍👩🏻	1F469 1F3FD 200D 1FAEF 200D 1F469 1F3FB	fully-qualified	E17.0	women wrestling: medium skin tone, light skin tone
👩🏽‍🫯‍👩🏼	1F469 1F3FD 200D 1FAEF 200D 1F469 1F3FC	fully-qualified	E17.0	women wrestling: medium skin tone, medium-light skin tone
👩🏽‍🫯‍👩🏾	1F469 1F3FD 200D 1FAEF 200D 1F469 1F3FE	fully-qualified	E17.0	women wrestling: medium skin tone, medium-dark skin tone
👩🏽‍🫯‍👩🏿	1F469 1F3FD 200D 1FAEF 200D 1F469 1F3FF	fully-qualified	E17.0	women wrestling: medium skin tone, dark skin tone
👩🏾‍🫯‍👩🏻	1F469 1F3FE 200D 1FAEF 200D 1F469 1F3FB	fully-qualified	E17.0	women wrestling: medium-dark skin tone, light skin tone
👩🏾‍🫯‍👩🏼	1F469 1F3FE 200D 1FAEF 200D 1F469 1F3FC	fully-qualified	E17.0	women wrestling: medium-dark skin tone, medium-light skin tone
👩🏾‍🫯‍👩🏽	1F469 1F3FE 200D 1FAEF 200D 1F469 1F3FD	fully-qualified	E17.0	women wrestling: medium-dark skin tone, medium skin tone
👩🏾‍🫯‍👩🏿	1F469 1F3FE 200D 1FAEF 200D 1F469 1F3FF	fully-qualified	E17.0	women wrestling: medium-dark skin tone, dark skin tone
👩🏿‍🫯‍👩🏻	1F469 1F3FF 200D 1FAEF 200D 1F469 1F3FB	fully-qualified	E17.0	women wrestling: dark skin tone, light skin tone
👩🏿‍🫯‍👩🏼	1F469 1F3FF 200D 1FAEF 200D 1F469 1F3FC	fully-qualified	E17.0	women wrestling: dark skin tone, medium-light skin tone
👩🏿‍🫯‍👩🏽	1F469 1F3FF 200D 1FAEF 200D 1F469 1F3FD	fully-qualified	E17.0	women wrestling: dark skin tone, medium skin tone
👩🏿‍🫯‍👩🏾	1F469 1F3FF 200D 1FAEF 200D 1F469 1F3FE	fully-qualified	E17.0	women wrestling: dark skin tone, medium-dark skin tone
🤽	1F93D	fully-qualified	E3.0	person playing water polo
🤽🏻	1F93D 1F3FB	fully-qualified	E3.0	person playing water polo: light skin tone
🤽🏼	1F93D 1F3FC	fully-qualified	E3.0	person playing water polo: medium-light skin tone
🤽🏽	1F93D 1F3FD	fully-qualified	E3.0	person playing water polo: medium skin tone
🤽🏾	1F93D 1F3FE	fully-qualified	E3.0	person playing water polo: medium-dark skin tone
🤽🏿	1F93D 1F3FF	fully-qualified	E3.0	person playing water polo: dark skin tone
🤽‍♂️	1F93D 200D 2642 FE0F	fully-qualified	E4.0	man playing water polo
🤽‍♂	1F93D 200D 2642	minimally-qualified	E4.0	man playing water polo
🤽🏻‍♂️	1F93D 1F3FB 200D 2642 FE0F	fully-qualified	E4.0	man playing water polo: light skin tone
🤽🏻‍♂	1F93D 1F3FB 200D 2642	minimally-qualified	E4.0	man playing water polo: light skin tone
🤽🏼‍♂️	1F93D 1F3FC 200D 2642 FE0F	fully-qualified	E4.0	man playing water polo: medium-light skin tone
🤽🏼‍♂	1F93D 1F3FC 200D 2642	minimally-qualified	E4.0	man playing water polo: medium-light skin tone
🤽🏽‍♂️	1F93D 1F3FD 200D 2642 FE0F	fully-qualified	E4.0	man playing water polo: medium skin tone
🤽🏽‍♂	1F93D 1F3FD 200D 2642	minimally-qualified	E4.0	man playing water polo: medium skin tone
🤽🏾‍♂️	1F93D 1F3FE 200D 2642 FE0F	fully-qualified	E4.0	man playing water polo: medium-dark skin tone
🤽🏾‍♂	1F93D 1F3FE 200D 2642	minimally-qualified	E4.0	man playing water polo: medium-dark skin tone
🤽🏿‍♂️	1F93D 1F3FF 200D 2642 FE0F	fully-qualified	E4.0	man playing water polo: dark skin tone
🤽🏿‍♂	1F93D 1F3FF 200D 2642	minimally-qualified	E4.0	man playing water polo: dark skin tone
🤽‍♀️	1F93D 200D 2640 FE0F	fully-qualified	E4.0	woman playing water polo
🤽‍♀	1F93D 200D 2640	minimally-qualified	E4.0	woman playing water polo
🤽🏻‍♀️	1F93D 1F3FB 200D 2640 FE0F	fully-qualified	E4.0	woman playing water polo: light skin tone
🤽🏻‍♀	1F93D 1F3FB 200D 2640	minimally-qualified	E4.0	woman playing water polo: light skin tone
🤽🏼‍♀️	1F93D 1F3FC 200D 2640 FE0F	fully-qualified	E4.0	woman playing water polo: medium-light skin tone
🤽🏼‍♀	1F93D 1F3FC 200D 2640	minimally-qualified	E4.0	woman playing water polo: medium-light skin tone
🤽🏽‍♀️	1F93D 1F3FD 200D 2640 FE0F	fully-qualified	E4.0	woman playing water polo: medium skin tone
🤽🏽‍♀	1F93D 1F3FD 200D 2640	minimally-qualified	E4.0	woman playing water polo: medium skin tone
🤽🏾‍♀️	1F93D 1F3FE 200D 2640 FE0F	fully-qualified	E4.0	woman playing water polo: medium-dark skin tone
🤽🏾‍♀	1F93D 1F3FE 200D 2640	minimally-qualified	E4.0	woman playing water polo: medium-dark skin tone
🤽🏿‍♀️	1F93D 1F3FF 200D 2640 FE0F	fully-qualified	E4.0	woman playing water polo: dark skin tone
🤽🏿‍♀	1F93D 1F3FF 200D 2640	minimally-qualified	E4.0	woman playing water polo: dark skin tone
🤾	1F93E	fully-qualified	E3.0	person playing handball
🤾🏻	1F93E 1F3FB	fully-qualified	E3.0	person playing handball: light skin tone
🤾🏼	1F93E 1F3FC	fully-qualified	E3.0	person playing handball: medium-light skin tone
🤾🏽	1F93E 1F3FD	fully-qualified	E3.0	person playing handball: medium skin tone
🤾🏾	1F93E 1F3FE	fully-qualified	E3.0	person playing handball: medium-dark skin tone
🤾🏿	1F93E 1F3FF	fully-qualified	E3.0	person playing handball: dark skin tone
🤾‍♂️	1F93E 200D 2642 FE0F	fully-qualified	E4.0	man playing handball
🤾‍♂	1F93E 200D 2642	minimally-qualified	E4.0	man playing handball
🤾🏻‍♂️	1F93E 1F3FB 200D 2642 FE0F	fully-qualified	E4.0	man playing handball: light skin tone
🤾🏻‍♂	1F93E 1F3FB 200D 2642	minimally-qualified	E4.0	man playing handball: light skin tone
🤾🏼‍♂️	1F93E 1F3FC 200D 2642 FE0F	fully-qualified	E4.0	man playing handball: medium-light skin tone
🤾🏼‍♂	1F93E 1F3FC 200D 2642	minimally-qualified	E4.0	man playing handball: medium-light skin tone
🤾🏽‍♂️	1F93E 1F3FD 200D 2642 FE0F	fully-qualified	E4.0	man playing handball: medium skin tone
🤾🏽‍♂	1F93E 1F3FD 200D 2642	minimally-qualified	E4.0	man playing handball: medium skin tone
🤾🏾‍♂️	1F93E 1F3FE 200D 2642 FE0F	fully-qualified	E4.0	man playing handball: medium-dark skin tone
🤾🏾‍♂	1F93E 1F3FE 200D 2642	minimally-qualified	E4.0	man playing handball: medium-dark skin tone
🤾🏿‍♂️	1F93E 1F3FF 200D 2642 FE0F	fully-qualified	E4.0	man playing handball: dark skin tone
🤾🏿‍♂	1F93E 1F3FF 200D 2642	minimally-qualified	E4.0	man playing handball: dark skin tone
🤾‍♀️	1F93E 200D 2640 FE0F	fully-qualified	E4.0	woman playing handball
🤾‍♀	1F93E 200D 2640	minimally-qualified	E4.0	woman playing handball
🤾🏻‍♀️	1F93E 1F3FB 200D 2640 FE0F	fully-qualified	E4.0	woman playing handball: light skin tone
🤾🏻‍♀	1F93E 1F3FB 200D 2640	minimally-qualified	E4.0	woman playing handball: light skin tone
🤾🏼‍♀️	1F93E 1F3FC 200D 2640 FE0F	fully-qualified	E4.0	woman playing handball: medium-light skin tone
🤾🏼‍♀	1F93E 1F3FC 200D 2640	minimally-qualified	E4.0	woman playing handball: medium-light skin tone
🤾🏽‍♀️	1F93E 1F3FD 200D 2640 FE0F	fully-qualified	E4.0	woman playing handball: medium skin tone
🤾🏽‍♀	1F93E 1F3FD 200D 2640	minimally-qualified	E4.0	woman playing handball: medium skin tone
🤾🏾‍♀️	1F93E 1F3FE 200D 2640 FE0F	fully-qualified	E4.0	woman playing handball: medium-dark skin tone
🤾🏾‍♀	1F93E 1F3FE 200D 2640	minimally-qualified	E4.0	woman playing handball: medium-dark skin tone
🤾🏿‍♀️	1F93E 1F3FF 200D 2640 FE0F	fully-qualified	E4.0	woman playing handball: dark skin tone
🤾🏿‍♀	1F93E 1F3FF 200D 2640	minimally-qualified	E4.0	woman playing handball: dark skin tone
🤹	1F939	fully-qualified	E3.0	person juggling
🤹🏻	1F939 1F3FB	fully-qualified	E3.0	person juggling: light skin tone
🤹🏼	1F939 1F3FC	fully-qualified	E3.0	person juggling: medium-light skin tone
🤹🏽	1F939 1F3FD	fully-qualified	E3.0	person juggling: medium skin tone
🤹🏾	1F939 1F3FE	fully-qualified	E3.0	person juggling: medium-dark skin tone
🤹🏿	1F939 1F3FF	fully-qualified	E3.0	person juggling: dark skin tone
🤹‍♂️	1F939 200D 2642 FE0F	fully-qualified	E4.0	man juggling
🤹‍♂	1F939 200D 2642	minimally-qualified	E4.0	man juggling
🤹🏻‍♂️	1F939 1F3FB 200D 2642 FE0F	fully-qualified	E4.0	man juggling: light skin tone
🤹🏻‍♂	1F939 1F3FB 200D 2642	minimally-qualified	E4.0	man juggling: light skin tone
🤹🏼‍♂️	1F939 1F3FC 200D 2642 FE0F	fully-qualified	E4.0	man juggling: medium-light skin tone
🤹🏼‍♂	1F939 1F3FC 200D 2642	minimally-qualified	E4.0	man juggling: medium-light skin tone
🤹🏽‍♂️	1F939 1F3FD 200D 2642 FE0F	fully-qualified	E4.0	man juggling: medium skin tone
🤹🏽‍♂	1F939 1F3FD 200D 2642	minimally-qualified	E4.0	man juggling: medium skin tone
🤹🏾‍♂️	1F939 1F3FE 200D 2642 FE0F	fully-qualified	E4.0	man juggling: medium-dark skin tone
🤹🏾‍♂	1F939 1F3FE 200D 2642	minimally-qualified	E4.0	man juggling: medium-dark skin tone
🤹🏿‍♂️	1F939 1F3FF 200D 2642 FE0F	fully-qualified	E4.0	man juggling: dark skin tone
🤹🏿‍♂	1F939 1F3FF 200D 2642	minimally-qualified	E4.0	man juggling: dark skin tone
🤹‍♀️	1F939 200D 2640 FE0F	fully-qualified	E4.0	woman juggling
🤹‍♀	1F939 200D 2640	minimally-qualified	E4.0	woman juggling
🤹🏻‍♀️	1F939 1F3FB 200D 2640 FE0F	fully-qualified	E4.0	woman juggling: light skin tone
🤹🏻‍♀	1F939 1F3FB 200D 2640	minimally-qualified	E4.0	woman juggling: light skin tone
🤹🏼‍♀️	1F939 1F3FC 200D 2640 FE0F	fully-qualified	E4.0	woman juggling: medium-light skin tone
🤹🏼‍♀	1F939 1F3FC 200D 2640	minimally-qualified	E4.0	woman juggling: medium-light skin tone
🤹🏽‍♀️	1F939 1F3FD 200D 2640 FE0F	fully-qualified	E4.0	woman juggling: medium skin tone
🤹🏽‍♀	1F939 1F3FD 200D 2640	minimally-qualified	E4.0	woman juggling: medium skin tone
🤹🏾‍♀️	1F939 1F3FE 200D 2640 FE0F	fully-qualified	E4.0	woman juggling: medium-dark skin tone
🤹🏾‍♀	1F939 1F3FE 200D 2640	minimally-qualified	E4.0	woman juggling: medium-dark skin tone
🤹🏿‍♀️	1F939 1F3FF 200D 2640 FE0F	fully-qualified	E4.0	woman juggling: dark skin tone
🤹🏿‍♀	1F939 1F3FF 200D 2640	minimally-qualified	E4.0	woman juggling: dark skin tone
🧘	1F9D8	fully-qualified	E5.0	person in lotus position
🧘🏻	1F9D8 1F3FB	fully-qualified	E5.0	person in lotus position: light skin tone
🧘🏼	1F9D8 1F3FC	fully-qualified	E5.0	person in lotus position: medium-light skin tone
🧘🏽	1F9D8 1F3FD	fully-qualified	E5.0	person in lotus position: medium skin tone
🧘🏾	1F9D8 1F3FE	fully-qualified	E5.0	person in lotus position: medium-dark skin tone
🧘🏿	1F9D8 1F3FF	fully-qualified	E5.0	person in lotus position: dark skin tone
🧘‍♂️	1F9D8 200D 2642 FE0F	fully-qualified	E5.0	man in lotus position
🧘‍♂	1F9D8 200D 2642	minimally-qualified	E5.0	man in lotus position
🧘🏻‍♂️	1F9D8 1F3FB 200D 2642 FE0F	fully-qualified	E5.0	man in lotus position: light skin tone
🧘🏻‍♂	1F9D8 1F3FB 200D 2642	minimally-qualified	E5.0	man in lotus position: light skin tone
🧘🏼‍♂️	1F9D8 1F3FC 200D 2642 FE0F	fully-qualified	E5.0	man in lotus position: medium-light skin tone
🧘🏼‍♂	1F9D8 1F3FC 200D 2642	minimally-qualified	E5.0	man in lotus position: medium-light skin tone
🧘🏽‍♂️	1F9D8 1F3FD 200D 2642 FE0F	fully-qualified	E5.0	man in lotus position: medium skin tone
🧘🏽‍♂	1F9D8 1F3FD 200D 2642	minimally-qualified	E5.0	man in lotus position: medium skin tone
🧘🏾‍♂️	1F9D8 1F3FE 200D 2642 FE0F	fully-qualified	E5.0	man in lotus position: medium-dark skin tone
🧘🏾‍♂	1F9D8 1F3FE 200D 2642	minimally-qualified	E5.0	man in lotus position: medium-dark skin tone
🧘🏿‍♂️	1F9D8 1F3FF 200D 2642 FE0F	fully-qualified	E5.0	man in lotus position: dark skin tone
🧘🏿‍♂	1F9D8 1F3FF 200D 2642	minimally-qualified	E5.0	man in lotus position: dark skin tone
🧘‍♀️	1F9D8 200D 2640 FE0F	fully-qualified	E5.0	woman in lotus position
🧘‍♀	1F9D8 200D 2640	minimally-qualified	E5.0	woman in lotus position
🧘🏻‍♀️	1F9D8 1F3FB 200D 2640 FE0F	fully-qualified	E5.0	woman in lotus position: light skin tone
🧘🏻‍♀	1F9D8 1F3FB 200D 2640	minimally-qualified	E5.0	woman in lotus position: light skin tone
🧘🏼‍♀️	1F9D8 1F3FC 200D 2640 FE0F	fully-qualified	E5.0	woman in lotus position: medium-light skin tone
🧘🏼‍♀	1F9D8 1F3FC 200D 2640	minimally-qualified	E5.0	woman in lotus position: medium-light skin tone
🧘🏽‍♀️	1F9D8 1F3FD 200D 2640 FE0F	fully-qualified	E5.0	woman in lotus position: medium skin tone
🧘🏽‍♀	1F9D8 1F3FD 200D 2640	minimally-qualified	E5.0	woman in lotus position: medium skin tone
🧘🏾‍♀️	1F9D8 1F3FE 200D 2640 FE0F	fully-qualified	E5.0	woman in lotus position: medium-dark skin tone
🧘🏾‍♀	1F9D8 1F3FE 200D 2640	minimally-qualified	E5.0	woman in lotus position: medium-dark skin tone
🧘🏿‍♀️	1F9D8 1F3FF 200D 2640 FE0F	fully-qualified	E5.0	woman in lotus position: dark skin tone
🧘🏿‍♀	1F9D8 1F3FF 200D 2640	minimally-qualified	E5.0	woman in lotus position: dark skin tone
